num,code,url,status_code,launch_date,year,month,launch_vehicle,launch_site,
512,2023-043X,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-043X,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
513,2023-043Y,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-043Y,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
514,2022-166G,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166G,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
515,2023-043Z,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-043Z,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
516,2022-166H,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166H,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
517,2022-166J,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166J,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
518,2022-166K,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166K,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
519,2022-166L,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166L,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
520,2022-166M,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166M,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
521,2022-166N,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166N,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
522,2023-004P,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004P,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
523,2022-166P,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166P,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
524,2022-166Q,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166Q,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
525,2022-166R,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166R,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
526,2022-166S,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166S,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
527,2022-166T,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166T,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
528,2022-166U,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166U,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
529,2022-166V,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166V,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
530,2022-166W,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166W,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
531,2022-166X,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166X,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
532,2023-004Q,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004Q,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
533,2023-004R,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004R,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
534,2022-166Y,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166Y,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
535,2022-166Z,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022-166Z,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
536,2022166AA,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AA,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
537,2022166AB,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AB,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
538,2022166AC,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AC,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
539,2022166AD,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AD,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
540,2022166AE,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AE,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
541,2022166AF,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AF,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
542,2022166AG,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AG,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
543,2023043AA,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AA,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
544,2022166AH,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AH,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
545,2022166AJ,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AJ,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
546,2022166AK,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AK,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
547,2023043AB,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AB,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
548,2023-004S,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004S,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
549,2022166AL,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AL,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
550,2023-004T,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004T,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
551,2023-004U,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004U,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
552,2023-004V,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004V,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
553,2023-004W,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004W,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
554,2023-004X,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004X,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
555,2023-004Y,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004Y,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
556,2023-004Z,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004Z,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
557,2023004AA,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AA,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
558,2023004AB,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AB,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
559,2023004AC,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AC,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
560,2023004AD,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AD,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
561,2023004AE,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AE,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
562,2023004AF,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AF,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
563,2023004AG,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AG,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
564,2023043AC,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AC,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
565,2023004AH,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AH,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
566,2023043AD,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AD,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
567,2023043AE,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AE,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
568,2023043AF,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AF,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
569,2023043AG,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AG,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
570,2023043AH,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AH,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
571,2023043AJ,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AJ,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
572,2023-029G,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029G,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
573,2023-029H,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029H,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
574,2023-029J,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029J,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
575,2023-029K,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029K,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
576,2023-029L,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029L,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
577,2023-029M,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029M,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
578,2023-029N,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029N,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
579,2023-029P,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029P,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
580,2023-029Q,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029Q,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
581,2023043AK,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AK,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
582,2023-029R,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029R,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
583,2023-029S,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029S,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
584,2023-029T,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029T,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
585,2023043AL,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AL,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
586,2023-029U,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029U,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
587,2023-029V,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029V,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
588,2023-029W,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029W,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
589,2022166AM,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AM,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
590,2023-029X,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029X,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
591,2023-029Y,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029Y,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
592,2023-029Z,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029Z,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
593,2022166AN,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AN,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
594,2023029AA,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AA,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
595,2023029AB,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AB,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
596,2023029AC,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AC,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
597,2023029AD,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AD,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
598,2023029AE,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AE,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
599,2023029AF,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AF,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
600,2023029AG,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AG,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
601,2023029AH,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AH,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
602,2023-068B,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068B,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
603,2023029AJ,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AJ,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
604,2023029AK,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AK,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
605,2023029AL,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AL,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
606,2023029AM,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AM,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
607,2023029AN,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AN,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
608,2023029AP,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AP,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
609,2023029AQ,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AQ,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
610,2023-068C,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068C,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
611,2023-068D,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068D,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
612,2023-068E,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068E,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
613,2023-068F,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068F,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
614,2023-068G,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068G,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
615,2023-068H,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068H,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
616,2023-068J,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068J,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
617,2023-068K,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068K,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
618,2023-068L,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068L,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
619,2022166AP,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AP,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
620,2023-068M,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068M,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
621,2023-068N,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068N,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
622,2023-068P,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068P,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
623,2023-068Q,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068Q,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
624,2023004AJ,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AJ,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
625,2023004AK,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AK,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
626,2023004AL,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AL,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
627,2022166AQ,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AQ,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
628,2023004AM,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AM,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
629,2022166AR,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2022166AR,200,2022-12-08,2022,12,Falcon 9 Full Thrust,Cape Canaveral, United States
630,2023004AN,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AN,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
631,2023004AP,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AP,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
632,2023004AQ,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AQ,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
633,2023043AM,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AM,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
634,2023004AR,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AR,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
635,2023029AR,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023029AR,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
636,2023-068R,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-068R,200,2023-05-20,2023,5,Falcon 9 Full Thrust,Vandenberg AFB, United States
